,quoteIndex,quoteText,hitDocId,hitText,hitStart,hitEnd,simScore,hitResult,estc_id,main_category,full_title,work_id,publication_year,language,publication_place,primary_author
0,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",126101600,"species of motion ihould be mentioned:
I answer this is absurd, since all motion is
no more than a passage from one place to
another, which can never produce thought;
for this motion, communicated to organized
matter does no more than displace and re-
place the molecules; which are moved. Now
let us conceive one of these small particles
to go from A to B, and from B to A. and
fee whether this has any thing in common
with the",12724,13152,0.836,Paraphrase,N6029,philosophy,"Man more than a machine. Wherein, I. The immateriality of the soul is demonstrated by invincible Arguments, which set this important Truth in a clear, new, and different Light. II. The objections against an immaterial principle, from the several Appearances, and from the Observations of Physicians, are examined, and evidently shewn to be fallacious. III. The analogy between man and brutes, is minutely considered; the specific Difference between them is proved not to consist in the Construction of their Bodies; and the different Phaenomena in Brutes are fully explained. IV. The impious consequences that flow from the opinion of the materialists are exposed and refuted; the Existence of a Deity is clearly and amply demonstrated; the Necessity, in fine, of a religious Worship is solidly established, and shewn to be essential to the Happiness of Man. In answer to a wicked and atheistical treatise, written by M. de la Mettrie, and intitled, Man a machine.",154303-man more than machine wherein i,1752,English,London,"luzac, elie, 1723-1796"
1,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",32300303,"finition. Is it more simple or more intelligible
than motion ? But, of all, the most remarkable
definition of motion is that of Aristotle, famous
'for its impenetrability, or rather absurdity, viz.
"" A&us entis in potentia,' quatenus in poten-
"" tia t.""

Extension enters into the conception of every
particle of matter; because every particle of
matter has length, breadth, and thickness.",316704,317093,0.833,Paraphrase,T70420,history,"Sketches of the history of man. In four volumes. By Henry Home, Lord Kaims, Author of Elements of Criticism, &c. ...",4864-sketches of history of man considerably enlarged,1774,English,Dublin,"Kames, Henry Home, Lord, 1696-1782"
2,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",950400202,"ciens définiffoient le mouvement comme les modernes, Définition
un changement de lieu (i), ou le paffage d'un lieu à un autre (2); ils u mouve-

ment; & fort
connoiffoient l'accélération de la defcente des corps dans leur chûte (3): accélération.
mais ils n'avoient pas fu, à la vérité, en déterminer les loix, quoiqu'ils
ne fuffent",174195,174527,0.825,Paraphrase,T137049,philosophy,Oeuvres de M. L. Dutens. ...,41147-oeuvres de m l dutens,1800,French,London,"dutens, l., 1730-1812., (louis)"
3,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",282500201,"definition of motion; yet they are a different
species of mstion, commonly expressed by the term adiont.

This leads me to inquire into the nature of this universal ac7ion,
-and its correfpondent,p/fln, which run through the whole of nature;
for every thing, as was said, is destined by nature to a or susser,
or both :; and, where there is an agent, there muff of necess",128827,129198,0.823,Meaning Match,T22180,philosophy,"Antient metaphysics: or, the science of universals. With an appendix, containing an examination of the principles of Sir Isaac Newton's philosophy. Volume first.",7522-antient metaphysics,1779,English,Edinburgh,"Monboddo, James Burnett, lord, 1714-1799"
4,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",330200902,"ascribes all Motion
to a primitive Impulse given by God, and the
Mechanical Affe&ions of Parts of Matter ; It
being the fame thing in assigning the Causes
of things to particular Motions, as Swift, Slow,
Uniform, &-c. whether the Parts of Matter
wed their Original Motions to Nature, or to
God; only it may be fiuppofed, that his infi-
nitely perfeE Knowledge might",334372,334737,0.822,Meaning Match,T80858,religion,"The theological works of the Honourable Robert Boyle, Esq; epitomiz'd. In three volumes. By Richard Boulton, late of Brazen-Nose College in Oxford.",22647-works of honourable robert boyle in six volumes,1715,English,London,"Boyle, Robert, 1627-1691."
5,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",444900700,"and determinate, than in
those heterogeneous Compositions which we are
acquainted withal.

CHAP. V.
Of MOBILITY of Matter, and the Na-

ture of MOTION and REST.
A R A Y what is meant by the Mobility

p of Matter ?
B. It is that essential Property, whereby any
Part of Matter is capable of Motion, or being
moved.

A. What is Motion ?
B. A continual and",59949,60301,0.818,Meaning Match,T25349,science,"The philosophical grammar; being a view of the present state of experimented physiology, or natural philosophy. In four parts. Part I. Somatology, treateth of the universal Nature and Properties of Matter, or Substance, and the specifick Qualities of natural Bodies. Part II. Cosmology, exhibiteth a general View of the Universe, and its great constituent Parts; the Sun, Moon, Planets, Comets, fixed Stars, &c. Part III. Aerology, compriseth the Philosophy of the Atmosphere, shewing the wonderful Nature and Properties of the Air, Wind, Meteors, and other Phaenomena therein. Part IV. Geology, containeth a Philosophical View of the terraqueous Globe, in all its Parts and Productions; as Minerals, Metals, Stones, &c. The Laws of Fluios; the Sea, its Tides, &c. Of Rivers, Springs, &c. Of Vegetation, and the Nature of Plants, Trees, &c. Of the Parts of animal Bodies 5 and a Survey of the Nature of Beasts, Birds, Fishes, Infects, Reptiles, Shell-Animals, &c. Illustrated with twenty-six copper-plates. By Benj. Martin, [greek text].",5103-philosophical grammar being view of present state of experimented physiology or natural philosophy,1748,English,London,"martin, benjamin, 1705-1782"
6,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",37700103,"motion are in_
volved the ideas of SPACE and TIME.

In treating of motion we have therefore to
confider, . The power or force which causes the
motion. 2. The substance moved. 3. The space
palted over by the moving body. 4. The time or
duration of the motion.

Space is the place of every exiflence; it is
dntihguifhed into absolute and relative, or place
and situation,

We do not perceive the absolute",174779,175181,0.816,Meaning Match,T88417,ephemera-practical,"Lectures on natural and experimental philosophy, considered in it's present state of improvement. Describing, in a familiar and easy manney, the principal philomena of nature; and shewing, that they all co-operate in displaying the goodness, wisdom, and power of God. By George Adams, mathematical instrument maker to His Majesty, and optician to His Royal Highness the Price of Wales. In five volumes. The fifth volume consisting of the plates and index. ...",19748-lectures on natural and experimental philosophy considered in its present state of improvement describing in familiar and easy manney principal philomena of nature and shewing that they all co operate in displaying goodness wisdom and power of god,1794,English,London,
7,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",1204402400,"a-

motion

,niotion somewhat declining from a right
line, and which gives to atoms the
,means of crossing and intercepting each
*other. Thus they turn them at their
pleasure, and just as their imagination
suggests the most plausible method of
coming to their point. But where are
they taught this declination of.atoms,
which comes in so opportunely to save
their system ? If a firait line in motion
be-effential",221712,222124,0.813,Meaning Match,N28834,philosophy,"A demonstration of the existence of God: deduced from the knowledge of nature, and more particularly from that of Man. By M. de la Mothe Fenelon, Archbishop of Cambray. Translated from the French, by Samuel Boyse, A.M.",4584-demonstration de lexistence de dieu,1769,English,London,"fenelon, francois de salignac de la mothe-, 1651-1715"
8,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",37500600,"the medium through
which it moves, and of the time it takes up in moving. For we can form no
compleat conception of motion abflra&ed from either of there.

To give a clear definition, therefore, or explain the nature and cause of
motion in general, it is necessary to illustrate the simple ideas, of which that
of motion is compounded.

Mvetaphyficians indeed have usually defined motion .,to be change of place,
or a passage",17046,17471,0.81,Meaning Match,T111674,science,A lecture on the perpetual motion. Part the First.,135028-a lecture on perpetual motion part first,1771,English,London,
9,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",371401500,"que tout ce que j'ai
dit, convaincra que le mouvement doit entrerdans
la définition de la matière, ainfi que fon étendue
& fa folidité. Si l'on me demande la définition
du mouvement lui-même, je dirai que ni moi
ni perfonne ne pouvons la donner. Ce n'elt pas
que nous le connoiffions moins pour cela; au
contraire nous le connoiffons beaucoup mieux
que",152085,152437,0.808,Meaning Match,T125931,philosophy,"Les progrès de la raison, dans la recherche du vrai. Ouvrage posthume de Mr. Helvétius.",99129-les progrès de la raison dans la recherche du vrai,1775,French,The Hague,"helvetius, 1715-1771"
