,quoteIndex,quoteText,hitDocId,hitText,hitStart,hitEnd,simScore,hitResult,estc_id,main_category,full_title,work_id,publication_year,language,publication_place,primary_author
0,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",0031701100,"Observation vii. upon B. II. Chap. xii. Sect. 4.
""I call such ideas,"" fays Mr. Locke, ""complex
ideas; which however compounded contain not in them
the supposition offitbfifing by themfelves,-but are con-
fidered as dependencies on, or affections of substances.""
Now what are we to understand by ideasfubfifting by
themselves ? and what by their being dependencies on",92990,93356,0.857,Reuse,N56029,philosophy,"Logical tracts, comprising observations and essays illustrative of Mr. Locke's treatise upon the human understanding: With Occasional Remarks on the Writings of the Two Scottish Professors, Reid and Stewart, Upon the Same Subject: and a Preface in Vindication of Mr. Locke, Against the Mistakes and Misrepresentations of the Late Mr. Milner, of Hull, Dr. Horne, Bishop of Norwich; Mr. Kett, Fellow of Trinity College, Oxford; and Dr. Napleton, Canon of Hereford. By Thomas Ludlam, M.A.",58560-logical tracts comprising observations and essays illustrative of mr,1790,English,Cambridge,"ludlam, thomas, 1727-1811"
1,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",0532701201,"I
think, they may be all reduced under these three Heads.

i. MIlodes.
2. Subfances.
3. Relations.
. 4. Fitfl, MODEs I call such Complex Ideas, l. d.
which, however compounded, contain not in
them the Supposition of subsisting by themselves, but are con.
fidered as Dependencies on, or Aff&ctions of Substances; such
are the Ileas, signified",376379,376720,0.845,Reuse,T121093,philosophy,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",10479-an essay concerning human understanding in four books,1753,English,Berwick-upon-Tweed,"locke, john, 1632-1704"
2,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",0537701401,"uch. Some limple ideas are formed
by sensation and reflection conjointly, as those of plea-
fire, power, exifence. Complex ideas are infinite-
some are not supposed to exiif by thensiflves, but are
confidered as dependencies on or affefions offubflan-
tives, such are triangle, gratitude, nurder, &c.-
Combinations of limple ideas are such as a do",47163,47510,0.818,Reuse,T147386,education,"Miscellaneous selections: or the rudiments of useful knowledge, from the first authorities. Designed for Senior Scholars in Schools, and for Young Persons in General. Containing useful information on a variety of subjects not to be found in any book of general use, in schools: and yet by all persons, necessary to be known. Compiled by J. Guy, Master of the Literary and Commercial Seminary, Bristol: Author of an English Grammar-Epitome of Geography and Astronomy-Universal Chart of History, &c. ...",179706-miscellaneous selections or rudiments of useful knowledge from first authorities,1796,English,Bristol,
3,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",0035700200,"all reduced under these three Heads.

t. Modes.
2. Subflances.
3. Relations.
Moktcs. §. 4. First, Miodes I call such complex Ideas, which however

compounded, contain not in them the supposition of fubfiting by
themselves, but are confidered as Dependences on, or Affdcions of
Substances; such are the, Ideas signified by the Words Triangle, Gra-
t",405005,405353,0.812,Reuse,T33271,philosophy,"An essay concerning humane understanding. In four books. Written by John Locke, Gent.",156-an abridgment of mr lockes essay concerning human understanding,1706,English,London,"locke, john, 1632-1704"
4,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",1590300201,"which the existence presupposes the existence

of something else.

Modes I call such complex ideas, which, however com-

pounded, contain not in them the supposition of fubfilting by
themselves, tot are considered as dependencies on, or affeAions
of fubitarces; such are the ideas signified by the words tri-
angle, gratitude, murder. Locke.

DEPE'NDANT. adj. [from depend.] In",2170551,2170928,0.812,Reuse,N54790,history,"A dictionary of the English language: in which the words are deduced from their originals, and illustrated in their different significations by examples from the best writers. To which are prefixed A history of the language, and An English grammar. By Samuel Johnson, A.M. In two volumes",294-dictionary of english language,1756,English,London,"johnson, samuel, 1709-1784"
5,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",0108100101,":

I. Modes.
2. Substances.
3. Relations.
.1sioies. .. 4. First, Modes 1 call such complex Ideas, which however compounded,

contain not in them the supposition of sublisting by themselves, but are confi-
der'das Dependences on, or Affetions of Substances; such are the Ideas figni-
fy'd by thewords Triangle, Gratitude, Murder, &",462858,463188,0.802,Reuse,T128627,philosophy,The works of John Locke Esq; In three volumes. The contents of which follow in the next leaf. With alphabetical tables. ...,2658-works of john locke in nine volumes,1714,English,London,"locke, john, 1632-1704"
6,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",1116100112,"ed, uses the
word in a lenie somewhat different from its ordinary
and proper signification. "" Such complex idea%,
which, however compounded, contain not in them the
supposition of subsisting by themselves, but are conli-
dered as dependencies on, or affeaions of, fubftanccs,""
he calls modes. Of these modes, there are, according to
him, two forts, which deserve distinct consideration.
First",1109988,1110380,0.791,Reuse,W31873,education,"Encyclopaedia; or, A dictionary of arts, sciences, and miscellaneous literature ... Compiled from the writings of the best authors, in several languages ... Illustrated with five hundred and forty-two copperplates. ...","X-encyclopaedia; or, a dictionary of arts, sciences, and miscellaneous literature .",1798,English,Philadelphia,
7,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",0821500101,"iiiix'd Modes.
.Si
0k tslvnccs in
ior coikc-
tit U.

I. Modes.
2. Substances.
3. Relations.
§. 4. First, Modes 1 call such complex Ideas, which however compounded,
contain not in them the supposition of subsisting by themselves, but are confi-
der'd as Dependences on, or Affetions of Substances ; such are the",454592,454902,0.771,Reuse,T128626,philosophy,An account of the life and writings of John Locke Esq;,20626-eloge de feu m locke,1714,English,London,"le clerc, jean, 1657-1736"
8,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",0489200101,"A s, though their number be infinite, and va-

riety endless, yet may they be all reduced to there three
heads, viz, modes, siThslances, and relations -2 Wodes are such
complex Ideas, as however compounded, are not supposed
to exisi by themselves, but are confidered as dep~ndeneies on,
or affe&ioscs ds fubslances; such are the Ideas signifi",9718837,9719179,0.758,Reuse,T136232,history,"Cyclopædia: or, an universal dictionary of arts and sciences; ... By E. Chambers, F.R.S.",658-cyclopaedia,1738,English,London,"chambers, ephraim, approximately 1680-1740"
9,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",1504700115,"ly adopted, o·rfes~the word· in a· sense somewhat
different from its Ordinary signification. "" Such
complex ideas, which, however compounded,con.
tain not in them the fuppplition of filbfifting by
themselves, but are considered as'deipendencfies
on or affe~ions of, fabitances,"" he calls modca.
Of these modes, there are two forts; Firth those
""",842648,842993,0.747,Reuse,T153977,education,"Encyclopædia perthensis; or Universal dictionary of knowledge, collected from every source; and intended to supersede the use of all other English books of reference. Illustrated with plates and maps. In twenty three volumes","X-encyclopædia perthensis; or universal dictionary of knowledge, collected from every source",1796,English,Perth,
